date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
2009-07-31,10356.83,-16.05,1,-28.04,-16.01,50.83,0,-28.04,50.89,107.80,0,-28.35,107.89
2009-08-31,10492.53,-15.75,1,-28.04,-16.05,47.01,0,-28.04,46.48,97.32,0,-28.35,96.62
2009-09-30,10133.23,-12.46,1,-28.04,-11.11,59.61,0,-28.04,62.08,114.70,0,-28.35,118.02
2009-10-30,10034.74,-11.03,1,-28.04,-8.92,63.57,0,-28.04,67.44,128.48,0,-28.35,133.88
2009-11-30,9345.55,1.07,0,-28.04,-1.32,86.83,0,-28.04,82.40,149.25,0,-28.35,143.35
2009-12-30,10546.44,-1.43,1,-28.04,-2.44,65.47,0,-28.04,63.78,124.31,0,-28.35,122.03
2010-01-29,10198.04,9.22,0,-28.04,9.15,73.31,0,-28.04,73.19,127.55,0,-28.35,127.39
2010-02-26,10126.03,14.15,0,-28.04,13.64,85.64,0,-28.04,84.80,108.80,0,-28.35,107.85
2010-03-31,11089.94,11.79,0,-28.04,10.26,73.19,0,-28.04,70.81,70.58,0,-31.80,68.23
2010-04-30,11057.40,25.35,0,-26.20,29.59,76.53,0,-26.20,82.50,82.63,0,-31.80,88.80
2010-05-31,9768.70,41.01,0,-24.84,41.83,110.50,0,-24.84,111.73,123.96,0,-31.80,125.27
2010-06-30,9382.64,45.77,0,-24.84,48.80,115.67,0,-24.84,120.15,137.55,0,-31.80,142.48
2010-07-30,9537.30,43.31,0,-24.84,42.82,115.84,0,-24.84,115.09,127.63,0,-31.80,126.85
2010-08-31,8824.06,51.73,0,-24.84,49.98,114.08,0,-24.84,111.61,162.23,0,-31.80,159.21
2010-09-30,9369.35,54.29,0,-24.84,53.72,85.59,0,-24.84,84.90,147.46,0,-31.80,146.54
2010-10-29,9202.45,55.70,0,-24.84,56.51,107.37,0,-24.84,108.45,149.68,0,-31.80,150.99
2010-11-30,9937.04,57.61,0,-24.84,56.81,98.73,0,-24.84,97.71,166.01,0,-31.80,164.65
2010-12-30,10228.92,59.27,0,-24.84,56.68,86.08,0,-24.84,83.05,168.30,0,-31.80,163.93
2011-01-31,10237.92,45.68,0,-24.84,45.16,71.11,0,-24.84,70.50,170.21,0,-31.80,169.24
2011-02-28,10624.09,39.69,0,-24.12,38.00,50.85,0,-28.35,49.03,172.64,0,-31.80,169.35
2011-03-31,9755.10,52.00,0,-20.36,52.73,71.79,0,-28.35,72.62,199.11,0,-31.80,200.55
2011-04-28,9849.74,45.22,0,-20.36,42.98,69.20,0,-28.35,66.59,192.52,0,-31.80,188.01
2011-05-31,9693.73,50.95,0,-20.36,50.54,77.80,0,-28.35,77.32,197.72,0,-31.80,196.93
2011-06-30,9816.09,54.46,0,-20.36,53.65,58.68,0,-28.35,57.84,193.31,0,-31.80,191.76
2011-07-29,9833.03,58.86,0,-20.36,56.76,68.51,0,-28.35,66.27,177.47,0,-31.80,173.79
2011-08-31,8955.20,72.24,0,-20.36,70.23,88.58,0,-28.35,86.38,213.67,0,-31.80,210.01
2011-09-30,8700.29,85.90,0,-20.36,89.26,89.07,0,-28.35,92.50,238.53,0,-31.80,244.66
2011-10-31,8988.39,82.61,0,-20.36,85.77,93.86,0,-28.35,97.22,221.44,0,-31.80,227.01
2011-11-30,8434.61,107.00,0,-20.36,103.08,117.06,0,-28.35,112.95,229.85,0,-31.80,223.61
2011-12-30,8455.35,106.39,0,-20.36,103.86,126.06,0,-28.35,123.30,240.51,0,-31.80,236.35
2012-01-31,8802.51,100.79,0,-20.36,100.62,116.32,0,-28.35,116.14,206.75,0,-31.80,206.50
2012-02-29,9723.24,93.33,0,-20.36,93.65,96.63,0,-28.35,96.95,172.82,0,-31.80,173.26
2012-03-30,10083.56,90.48,0,-20.36,89.98,87.53,0,-28.35,87.04,175.91,0,-31.80,175.19
