dataset,decision_month,feature,na_reason
baseline_2008_monthly,2010-11,liq.m2_yoy,
baseline_2008_monthly,2010-12,ey,
baseline_2008_monthly,2010-12,eyg,
baseline_2008_monthly,2010-12,term_spread,
baseline_2008_monthly,2010-12,pmi_gap,
baseline_2008_monthly,2010-12,delta_pmi,
baseline_2008_monthly,2010-12,loans_12m,
baseline_2008_monthly,2010-12,val.pb,
baseline_2008_monthly,2010-12,rate.fr007_mean,
baseline_2008_monthly,2010-12,gro.ip_yoy,
baseline_2008_monthly,2010-12,gro.retail_yoy,
baseline_2008_monthly,2010-12,gro.gdp_yoy,
baseline_2008_monthly,2010-12,inf.cpi_yoy,
baseline_2008_monthly,2010-12,inf.ppi_yoy,
baseline_2008_monthly,2010-12,liq.m2_yoy,
baseline_2008_monthly,2011-01,ey,
baseline_2008_monthly,2011-01,eyg,
baseline_2008_monthly,2011-01,term_spread,
baseline_2008_monthly,2011-01,pmi_gap,
baseline_2008_monthly,2011-01,delta_pmi,
baseline_2008_monthly,2011-01,loans_12m,
baseline_2008_monthly,2011-01,val.pb,
baseline_2008_monthly,2011-01,rate.fr007_mean,
baseline_2008_monthly,2011-01,gro.ip_yoy,
baseline_2008_monthly,2011-01,gro.retail_yoy,
baseline_2008_monthly,2011-01,gro.gdp_yoy,
baseline_2008_monthly,2011-01,inf.cpi_yoy,
baseline_2008_monthly,2011-01,inf.ppi_yoy,
baseline_2008_monthly,2011-01,liq.m2_yoy,
baseline_2008_monthly,2011-02,ey,
baseline_2008_monthly,2011-02,eyg,
baseline_2008_monthly,2011-02,term_spread,
baseline_2008_monthly,2011-02,pmi_gap,
baseline_2008_monthly,2011-02,delta_pmi,
baseline_2008_monthly,2011-02,loans_12m,
baseline_2008_monthly,2011-02,val.pb,
baseline_2008_monthly,2011-02,rate.fr007_mean,
baseline_2008_monthly,2011-02,gro.ip_yoy,
baseline_2008_monthly,2011-02,gro.retail_yoy,
baseline_2008_monthly,2011-02,gro.gdp_yoy,
baseline_2008_monthly,2011-02,inf.cpi_yoy,
baseline_2008_monthly,2011-02,inf.ppi_yoy,
baseline_2008_monthly,2011-02,liq.m2_yoy,
baseline_2008_monthly,2011-03,ey,
baseline_2008_monthly,2011-03,eyg,
baseline_2008_monthly,2011-03,term_spread,
baseline_2008_monthly,2011-03,pmi_gap,
baseline_2008_monthly,2011-03,delta_pmi,
baseline_2008_monthly,2011-03,loans_12m,
baseline_2008_monthly,2011-03,val.pb,
baseline_2008_monthly,2011-03,rate.fr007_mean,
baseline_2008_monthly,2011-03,gro.ip_yoy,
baseline_2008_monthly,2011-03,gro.retail_yoy,
baseline_2008_monthly,2011-03,gro.gdp_yoy,
baseline_2008_monthly,2011-03,inf.cpi_yoy,
baseline_2008_monthly,2011-03,inf.ppi_yoy,
baseline_2008_monthly,2011-03,liq.m2_yoy,
baseline_2008_monthly,2011-04,ey,
baseline_2008_monthly,2011-04,eyg,
